Stock,Current Price,Previous Close,Volume,Market Cap,Day High,Day Low,52W High,52W Low,1M Return,3M Return,6M Return,RSI,SMA20,SMA50,MACD,ATR,Institutional Score,Confidence,Buy Probability,Composite Score,Trade Signal,Sector,Sector Rank,Sector Percentile,Market Leader,Relative Strength Score,Elite Stock
BHEL.NS,404.4,401.1,6974840,1408146399509.1719,405.25,396.0,417.8999938964844,205.1199951171875,21.58,55.15,41.77,69.95,379.29,314.46,26.35,14.34,100,95.0,90.25,95.08,STRONG BUY,Unknown,1.0,99.87,YES,39.73,YES
ADANIPOWER.NS,219.9,219.09,17764987,4240704247925.0645,220.25,216.19000244140625,234.39999389648438,105.41999816894531,8.34,45.72,45.19,60.16,221.15,186.68,8.64,8.28,100,95.0,90.25,95.08,STRONG BUY,Unknown,1.0,99.87,YES,34.29,YES
ADANIGREEN.NS,1362.1,1377.8,2203512,2243618600511.2383,1369.0,1348.0999755859375,1471.0,765.0,18.44,36.93,28.5,64.42,1314.49,1091.48,79.25,56.46,95,90.25,85.74,90.33,STRONG BUY,Unknown,2.0,99.48,YES,28.01,YES
ANTHEM.NS,779.85,787.35,1977198,438052532988.63293,819.6500244140625,765.2000122070312,873.5,579.1500244140625,5.7,12.67,20.45,56.65,776.56,717.12,20.13,27.22,93,88.35,83.93,88.43,STRONG BUY,Unknown,3.0,99.22,YES,13.69,NO
BSE.NS,4195.0,4190.8,3613704,1703711478015.0,4220.7001953125,4150.0,4298.89990234375,2021.5,19.32,32.04,44.88,78.84,3817.52,3342.71,227.17,115.87,90,85.5,81.22,85.57,STRONG BUY,Unknown,4.0,98.84,YES,33.36,YES
ADANIENSOL.NS,1336.6,1329.5,1842860,1604312968391.0,1339.9000244140625,1307.5,1463.6500244140625,744.9000244140625,6.13,31.46,34.52,57.34,1364.45,1172.74,37.43,63.33,90,85.5,81.22,85.57,STRONG BUY,Unknown,4.0,98.84,YES,25.08,YES
AEQUS.NS,204.44,197.67,3214730,133878380958.16498,214.60000610351562,191.6699981689453,223.47000122070312,113.30000305175781,7.4,40.8,35.13,60.92,194.68,159.18,10.51,14.08,88,83.6,79.42,83.67,BUY,Unknown,5.0,98.32,YES,28.51,NO
BANDHANBNK.NS,189.7,191.21,3553906,305610101336.76337,191.4499969482422,187.6999969482422,212.66000366210938,134.25,7.7,12.74,25.45,50.77,194.98,176.62,4.89,6.42,88,83.6,79.42,83.67,BUY,Unknown,5.0,98.32,YES,16.31,NO
ACUTAAS.NS,2875.6,2886.5,295680,235518652659.78662,2909.800048828125,2849.0,2906.0,1059.0,19.28,40.27,65.99,67.58,2657.1,2444.74,125.77,106.27,86,81.7,77.61,81.77,BUY,Unknown,6.0,97.93,YES,44.26,NO
APARINDS.NS,12682.0,12327.0,60412,509414570830.0,12748.0,12141.0,13024.0,6801.0,8.26,32.38,37.38,59.76,12396.08,11131.65,376.19,502.26,85,80.75,76.71,80.82,BUY,Unknown,7.0,97.67,YES,27.14,NO
